manual reset|NULL|NULL|NULL|9644
manual reset|Adjustments / Credits|30 Day Money Back|Adjusted|3
manual reset|Adjustments / Credits|Charge for service never installed|Adjusted|3
manual reset|Adjustments / Credits|Charge for service never installed|Customer Education|3
manual reset|Adjustments / Credits|Credit/Refund Inquiry|Adjusted|15
manual reset|Adjustments / Credits|Credit/Refund Inquiry|Adjusted (Services incorrectly added via Instant Upgrade)|1
manual reset|Adjustments / Credits|Credit/Refund Inquiry|Customer Education - Balance|4
manual reset|Adjustments / Credits|Credit/Refund Inquiry|Customer Education - Charges|5
manual reset|Adjustments / Credits|Questions about Adjustment|Adjusted|5
manual reset|Adjustments / Credits|Questions about Adjustment|Customer Education|5
manual reset|Adjustments / Credits|Questions about Adjustment|Escalated (Note Required)|1
manual reset|Adjustments / Credits|Service Outage|Adjusted|6
manual reset|Adjustments / Credits|Service Outage|Customer Education|17
manual reset|Adjustments / Credits|Trip Charge|Escalated (Note Required)|1
manual reset|Apple TV|Other (Notes Required)|Other (Note Required)|1
manual reset|Apple TV|STVA On Demand|Asset Not Available - Escalated For Investigation|1
manual reset|Apple TV|Setup / Installation|Customer Ed - How to Install Device|1
manual reset|Appointment Related|Cancel Appointment|Canceled Appointment - Customer Request|3
manual reset|Appointment Related|Cancel Appointment|Canceled Appointment - Outage In Area|11
manual reset|Appointment Related|Cancel Appointment|Canceled Appointment - Service Restored|57
manual reset|Appointment Related|Cancel Appointment|Rescheduled Appointment|7
manual reset|Appointment Related|Confirm Appointment|Customer Education|11
manual reset|Appointment Related|Confirm Appointment|Escalated for Follow-Up|1
manual reset|Appointment Related|Confirm Appointment|Escalated for Followup|20
manual reset|Appointment Related|Confirm Appointment|Provided Estimated Time of Arrival|322
manual reset|Appointment Related|Confirm Appointment|Rescheduled Appointment|34
manual reset|Appointment Related|Confirm Appointment|Submitted ETD Ticket|16
manual reset|Appointment Related|Customer Missed Appointment|Escalated for Followup|1
manual reset|Appointment Related|Customer Missed Appointment|Provided Estimated Time of Arrival|2
manual reset|Appointment Related|Customer Missed Appointment|Rescheduled Appointment|4
manual reset|Appointment Related|Customer Missed Appointment|Submitted ETD Ticket|8
